PotID,Pot.ID.QR.Code,stripNo,BinNo,plotType,divLevel,trt,lines1,lines2,lines3,lines4,lines5,lines6,lines7,lines8,lines9,lines10,lines11,lines12,lines13,lines14,lines15,lines16,lines17,lines18,lines19,lines20,PlantNum_Initial,CanopyArea,SLA_Area,SLA_Wt,SLA,FH_Wt,FT.5.29.30.18,FT.6.4.18,FT.6.8.18,FT.6.12.18,FT.6.15.18,FT.6.19.18,FT.6.21.18,FT.6.26.18,FT.6.29.18,FT.7.6.18,FT.7.10.18,Damaged_pot,FT1001_mean,FT1001_q90,FT1001_q10,PC5dist_mean,Ngenotypes,meanKin,meanGenD,treeDiv,ecotypeid,potF2,MaxPlantNum,typePlot
349,349-C-pred-20-S,C,5,pred,20,S,CS77057,CS77033,CS76770,CS76721,CS76360,CS77000,CS76979,CS76769,CS76958,CS77020,CS77197,CS76513,CS77179,CS78848,CS77196,CS77028,CS76409,CS76706,CS76790,CS77126,19,6.87,NA,NA,NA,0.2172,0,1,1,1,25,25,25,50,50,50,50,,72.41041667,90.18333333,52.6375,5.392296964,20,6.268438054,1.057947463,37.72334385,NA,59.905,19,SimClimFdiv
350,350-C-pred-2-S,C,5,pred,2,S,CS76689,CS78848,,,,,,,,,,,,,,,,,,,15,2.35,NA,NA,NA,0.3244,0,0,0,0,0,,0,0,0,0,0,,75.0625,80.0125,70.1125,6.894711155,2,6.674212204,0.723620127,9.014418195,NA,NA,15,Gdiv
351,351-C-mono-1-C,C,5,mono,1,C,CS78778,,,,,,,,,,,,,,,,,,,,20,4.66,0.1,0.465,0.215,0.1585,0,0,1,25,50,75,75,100,100,100,100,,59,59,59,8.532668608,1,7.322603124,0,0,5811,103.9858333,20,NA
352,352-C-mono-1-S,C,5,mono,1,S,CS76769,,,,,,,,,,,,,,,,,,,,20,2.34,0.11,0.252,0.437,0.0664,0,0,0,0,0,,0,0,0,0,0,,69.16666667,69.16666667,69.16666667,4.109676849,1,7.322603124,0,0,9705,NA,20,NA
353,353-C-mono-1-S,C,5,mono,1,S,CS76674,,,,,,,,,,,,,,,,,,,,20,9.08,0.22,0.866,0.254,1.0578,0,0,0,0,0,,0,0,0,0,0,,75.875,75.875,75.875,8.257826396,1,7.322603124,0,0,9821,NA,20,NA
354,354-C-mono-1-S,C,5,mono,1,S,CS76836,,,,,,,,,,,,,,,,,,,,11,1.22,0.04,0.214,0.187,0.4089,0,0,0,0,0,,0,0,0,0,0,,72.875,72.875,72.875,4.274002269,1,7.322603124,0,0,9841,NA,12,NA
355,355-C-mono-1-C,C,5,mono,1,C,CS77020,,,,,,,,,,,,,,,,,,,,19,2.93,NA,NA,NA,0.0619,0,0,1,75,75,75,75,75,75,75,75,,52.75,52.75,52.75,5.187052831,1,7.322603124,0,0,7213,41.44,19,NA
356,356-C-pred-10-S,C,5,pred,10,S,CS76979,CS76739,CS76769,CS77020,CS77197,CS76513,CS77179,CS77196,CS76409,CS77126,,,,,,,,,,,15,2.55,NA,NA,NA,0.1434,0,0,0,1,1,25,25,50,50,50,50,,72.23333334,90.18333333,51.55,4.986408859,10,6.31180401,1.01159369,23.44520947,NA,31.7325,15,SimClimFdiv
357,357-C-mono-1-S,C,5,mono,1,S,CS76774,,,,,,,,,,,,,,,,,,,,20,6.06,0.13,0.547,0.238,0.5882,0,0,0,0,0,,0,0,0,25,25,,67.70833334,67.70833334,67.70833334,5.517336841,1,7.322603124,0,0,9534,21.66166667,20,NA
358,358-C-mono-1-S,C,5,mono,1,S,CS76886,,,,,,,,,,,,,,,,,,,,20,2.84,0.12,0.759,0.158,0.2779,0,0,0,0,0,,0,0,0,0,0,,92,92,92,8.630416859,1,7.322603124,0,0,9543,NA,20,NA
359,359-C-div-10-S,C,5,div,10,S,CS77229,CS76692,CS77020,CS76741,CS77387,CS76691,CS77000,CS76693,CS76958,CS76689,,,,,,,,,,,20,1.64,NA,NA,NA,0.3241,0,1,1,1,1,1,1,1,1,1,1,,72.23333333,83.825,52.5625,7.752214815,10,6.406301844,0.905787073,17.65603004,NA,22.676,20,NA
360,360-C-mono-1-S,C,5,mono,1,S,CS76790,,,,,,,,,,,,,,,,,,,,20,2.77,NA,NA,NA,0.0367,0,25,0,50,75,75,75,75,75,75,75,,55.875,55.875,55.875,5.881856565,1,7.322603124,0,0,88,49.34,20,NA
361,361-D-mono-1-C,D,1,mono,1,C,CS76836,,,,,,,,,,,,,,,,,,,,17,9.05,0.21,1.073,0.196,0.1866,0,0,0,0,0,0,0,0,0,1,1,,72.875,72.875,72.875,4.274002269,1,7.322603124,0,0,9841,NA,17,NA
